cent,efl node20,efl node0,efl node10,fl net5
4.880000114,6.829035282,33.33333206,10.52631569,8.050000191
4.489999771,6.685769081,66.66666412,11.84210491,8.699999809
4.539999962,6.781280041,66.66666412,9.868420601,8.850000381
4.329999924,7.449856758,33.33333206,9.868420601,8.300000191
4.440000057,7.163323879,66.66666412,10.52631569,6.550000191
4.829999924,7.115568161,66.66666412,11.18421078,9
4.510000229,6.924546242,33.33333206,11.18421078,7.800000191
4.5,6.829035282,33.33333206,10.85526276,8.399999619
4.110000134,6.351480484,33.33333206,9.539473534,7.400000095
4.380000114,6.542502403,66.66666412,9.868420601,8.75
4.820000172,7.30659008,33.33333206,8.881579399,7.699999809
4.989999771,6.733524323,33.33333206,10.85526276,8.149999619
4.699999809,7.30659008,33.33333206,11.51315784,7.699999809
4.409999847,6.160458565,66.66666412,8.223684311,8.050000191
4.75,6.829035282,66.66666412,9.210526466,8.100000381
4.510000229,6.590257645,66.66666412,8.881579399,6.900000095
4.730000019,6.924546242,66.66666412,11.51315784,8.199999809
4.389999866,6.017191887,100,10.85526276,9
4.380000114,7.40210104,33.33333206,11.51315784,9.25
4.809999943,7.163323879,33.33333206,11.84210491,8.800000191
4.539999962,6.638013363,66.66666412,11.84210491,7.849999905
4.429999828,6.685769081,33.33333206,13.81578922,7.25
4.699999809,6.876791,33.33333206,10.52631569,7.650000095
4.840000153,6.399235725,66.66666412,8.552631378,8
4.389999866,6.97230196,66.66666412,10.52631569,7.050000191
4.570000172,6.255969524,33.33333206,9.210526466,7.300000191
4.590000153,6.829035282,33.33333206,12.17105293,7.800000191
4.239999771,7.497612,33.33333206,10.52631569,7.900000095
4.539999962,6.924546242,0,9.868420601,7.849999905
4.730000019,6.685769081,66.66666412,11.18421078,7.75
4.380000114,6.685769081,33.33333206,8.223684311,7.699999809
4.510000229,6.494746685,33.33333206,8.881579399,8.850000381
4.53000021,6.685769081,66.66666412,9.868420601,8.050000191
4.710000038,6.399235725,66.66666412,9.868420601,9.050000191
4.159999847,5.58739233,33.33333206,9.210526466,8.149999619
4.769999981,6.876791,33.33333206,10.19736862,8.649999619
4.429999828,6.160458565,66.66666412,11.18421078,7
4.5,7.115568161,66.66666412,11.84210491,8.600000381
4.300000191,7.30659008,66.66666412,11.51315784,8.5
4.639999866,6.208213806,33.33333206,11.84210491,8.600000381
4.840000153,6.208213806,33.33333206,8.223684311,8.25
4.449999809,7.497612,66.66666412,9.210526466,7.199999809
4.400000095,6.208213806,33.33333206,9.868420601,7.800000191
